content;content_language;content_ori;sentiment
Primeiro encontro, Michael Moore, filme particular, começo de uma jornada mútua, realmente gosto da tendência documental de provocar reflexão e discussão entre o espectador. O fato é que isso muitas vezes rendeu a opinião pessoal de Mike, conclusão para diminuir a precisão, daí o desafio do documentário ao espectador no pensamento crítico. Acredito pessoalmente que o livro, filme e documentário provocam discussão e debate, vale a pena assistir. Uma exceção, na verdade, vi o filme acidentalmente. O filme é magistralmente feito, imediatamente cativou minha atenção. O filme provoca reflexão, faz perguntas válidas sobre a cultura americana de armas. Tenta responder, morando um pouco no fato de que o filme apresenta uma descoberta de que Mike poderia ter feito um trabalho melhor verificando os fatos. O documentário também é bastante editado, clip retirado do contexto respectivo, apesar de Mike parecer capaz de apresentar o caso de forma válida. O oponente usa a imprecisão como uma maneira de desacreditar todo o documentário. Sinto que perdi o ponto, o ponto preciso no tempo, por exemplo, a cena em que Mike recebe uma arma, agradecendo como um presente do banco. Leva muito tempo para supostamente receber a arma do banco, abrir uma conta, realmente importa levar uma hora ou um dia para limpar os documentos do banco, dando de graça uma arma para uma concessionária licenciada de armas. Mesmo discordaria de Mike admitir que é um fabricante de documentários habilidoso, sabe editar e usar música cativante para fazer um documentário prazeroso de assistir, apesar de muitos problemas de precisão. Extremamente provocador, algo visto na escola, desconsiderado pacote especial de DVD com disco extra, muitos materiais interessantes em bônus, disco extra vale a pena assistir, quase uma hora de filmagem em vídeo, mesmo tendo visto o documentário antes, o disco especial lança luz adicional sobre o documentário, reflete o ponto omitido no documentário real. Fortemente recomendado.;en-us;first meeting michael moore particular movie beginning mutual journey really like documentary tendency provoking thought discussion among viewer fact often yielded mike personal opinion conclusion decrease accurateness hence documentary challenge viewer critical thinking personally believe book movie documentary provokes discussion debate worth seeing one exception actually saw film accidentally movie masterfully made immediately captivated attention film thought provoking sense asks several valid question american gun culture try come answer dwelling little bit fact movie present one discover mike could done better job checking fact documentary also rather heavily edited clip taken respective context spite mike seems able present case rather validly opponent use inaccuracy way discrediting entire documentary feel miss point point accurate time example scene mike receives gun thank gift bank point long took supposed receive gun bank open account really matter take hour day clear paperwork point bank giving away gun licensed gun dealership even would disagree mike admit skilled documentary maker know edit use captivating music make documentary pleasure watch spite many accuracy extremely thought provoking something seen school disuccessed special dvd package extra disc many interesting interview extra bonus material extra disc worth watching almost hour video footage even seen documentary earlier special disc shed additional light documentary reflects point omitted actual documentary strongly recommended;Positive
um filme favorito de um tempo;en-us;one time favorite movie;Positive
excelente documentário;en-us;excellent docu;Positive
Caro Sr. Lucas, a vida é justa, lançando uma edição digitalmente retocada do filme, versão não adulterada do filme, fazendo um tolo ter a ideia de comprar o conjunto de discos, pegar o primeiro disco, um cara disse algo sobre remasterização da versão original sem destruir deliberadamente, obviamente e inflexivelmente, o filme original. A reputação é alta em definição, novo disco Blu-ray ainda mantém a proporção de aspecto original, DTS, novo som surround, trailer teatral original, pôster teaser do filme lido em fonte grande, vindo da galáxia no verão, documentário original sobre os bastidores da produção, estrela de guerra, arquivo de talentos das principais pessoas nos créditos. Ainda, Sr. Lucas realmente quer ouvir e ver para se livrar da versão.;en-us;fair mr lucas guess life fair releasing digitally tweaked edition film unaltered version film making fool got idea buy disc set take first disc one guy said something remastering original version without deliberately obviously inflexibly destroying original film reputation high definition new blu ray disc still keep original aspect ratio dts new surround sound original theatrical teaser trailer teaser poster film read big font coming galaxy summer original documentary making star war talent file main people creditsstill mr lucas really want hear view get rid version;Positive
bom elenco de filme, ótima história, livro capaz de dar muito mais detalhes;en-us;good film cast great story book able give far better detail;Positive
amor filme jogar assistir;en-us;love movie play watch;Neutral
disco ótimo extra tocado perfeitamente disco filme real clássico dos Beatles no entanto cópia ruim tocar minuto em qualquer lugar;en-us;disc great extra played perfectly disc actual film beatles classic however copy bad play minute anywhere;Negative
fox david ator medíocre e sem graça, por mais que a série comece a ganhar força, precisa escolher um rumo, criar tração, fluxo e tensão dentro do governo.;en-us;fox david pretty lame actor series nevertheless start pick traction flow tension within government;Negative
entregou presente pai amou reclamação aproveitar relembrar realmente amou Roy Rogers Dale Evans seja realista foi ótimo receber ver o show por completo há muitos anos, vários shows incluíam assistir, assistir a vários episódios, um fez um ótimo presente;en-us;gave gift parent loved complaint enjoy reminiscing really loved roy rogers dale evans get real kick getting see show entirety way back many year ago several show included watch watch several espisodes one made great gift;Neutral
interessante;en-us;interesting;Neutral
"Breve análise do Blu-ray Anchor Bay: a qualidade da imagem é boa. Um filme antigo, cada fotograma parecia um filme com grãos de película piscando. Falta um termo melhor para descrever isso, mas geralmente estava distante. O áudio foi igualmente agradável. O vídeo Goblin e a trilha sonora soaram ótimos, bem como os efeitos sonoros e o diálogo nas versões em inglês e italiano. O recurso especial foi definitivamente a pior parte do disco: uma entrevista com Argento, o produtor e roteirista, tem um minuto de duração e é chata; um videoclipe está presente; um Goblin aparece nos dias atuais em um estúdio caseiro; outro foi provavelmente feito no início dos anos 2000 por uma banda que eu nunca ouvi falar. O recurso é bem horrível. No geral, o disco vale a pena pelo filme, necessariamente algo que eu usaria para mostrar como um Blu-ray da Marvel deve ser. A qualidade do Blu-ray é definitivamente ótima e tem boa aparência.";en-us;brief review anchor bay blu ray picture quality good film old every felt like film grain flashing lack better term often far audio go found equally pleasing video goblin soundtrack sounded great well sound effect dialogue english italian versionsthe special feature definitely worst part disc one interview argento producer writer minute long two boring music video one present day goblin appears someone home studio another made probably early 00s band never heard feature pretty awful special effect overall disc worth film necessarily something would use show marvel blu ray quality definitely great looking blu ray;Positive
Ótimo filme, ótimo elenco;en-us;great movie great cast;Neutral
Meu filho de quatro anos adora assistir Pingu, apesar de falar em uma língua fácil de entender e ser divertido, com muitas risadas ao assistir às histórias criativas e educativas.;en-us;four year old son love watch pingu despite fact talking since language easy understand entertaining laugh loud watching story creatives educative;Positive
filme épico incrível;en-us;epic awesome movie;Positive
feliz, três tolos, conjunto, um realmente adicionar;en-us;happy three stooge set one really add;Positive
amo filmes sempre;en-us;love movie always;Neutral
bom filme, adorei o elenco;en-us;good movie love cast;Positive
divertido interessante melhor achava que saberia Tina Fey poderia papel sério;en-us;entertaining interesting better thought would know tina fey could serious role;Positive
sim;en-us;yes;Positive
outro filme engraçado, elogios a Mel Brooks, todo o elenco está ótimo, um ótimo negócio, entrega rápida da Amazon;en-us;another funny movie mel brook kudos entire cast well great bargain amazon prompt delivery;Positive
normalmente, ioga de fã precisando de algo, ajuda, alongamento, treino intenso, uau, como Bob, direção clara, ritmo certo, dando um treino intenso;en-us;normally fan yoga needing something help stretch intense workout wow like bob clear direction pace right giving intense workout;Positive
filme bom, história criativa, reviravolta inesperada no final;en-us;movie good story line creative expect ending;Positive
favorito(s) sempre;en-us;always favorite;Positive
continuação original mantenha a reviravolta vindo mantenha querendo entrega obtém temporada por favor;en-us;continuation original keep twist coming keep wanting delivers get season please;Neutral
atuação excelente, ritmo acelerado, notícias baseadas no tempo atual;en-us;excellent acting fast paced based news current time;Positive
outro filme viu a Sundance lançar um provocativo e impactante filme da HBO. Acesso, pense que é possível, já sabíamos muito sobre a situação de Abu Ghraib. Saber e ver de perto são duas coisas diferentes. Uma ressalva: o estilo de entrevista glamourosa que a HBO parece exigir para um documentário está um pouco estranho em relação ao assunto, que é estilisticamente áspero. Também sinto que o filme poderia ser mais duro com a política prisional militar na região, dada a situação difícil. Fiquei surpreso com a capacidade do cineasta Rory Kennedy de conseguir tanto acesso a um soldado individual e mostrar tanto.;en-us;another film saw sundance release hbo provocative hard hitting film access think possible already knew lot abu ghraib situation knowing seeing close two different thing one quibble glossy interview style hbo seems require documentary somewhat odds stylistically gritty subject matter also feel film could tougher military prison policy region given must difficult situation amazed filmmaker rory kennedy able get much access individual soldier show much;Positive
incrível engraçado;en-us;awesome funny;Positive
bom, os dois primeiros querem rir e assistir;en-us;good first two want laugh watch;Positive
vale a pena ver, imagina, um vislumbre, grande jogador, filme de má qualidade, de qualquer forma vale a pena ver, leitor gosta de biografia de pôquer;en-us;worth see imagine glimpse great player poor quality movie anyway worth see reader like poker biography;Positive
história doce, mais leve, aspecto de estrela que eu realmente gostaria de ver. História realmente Dax, estrela Dax, lembrando uma pessoa comum. A história definitivamente tem um lado açucarado, o lado perfeito do Hallmark. Ministra filha se mudou para casa, perdendo o emprego, concurso, paixão, ganhar celebridade, lembra como se tornou cínico. Eu realmente senti que a história estava tentando fazer muita coisa, realmente realizar muito. Questão da trama da história. A história jogou uma instância, a história do clube local fechando sem dinheiro, show para arrecadar dinheiro. Uma espécie de queda do lado inteiro, aspecto da paixão que realmente foi abordado além do mencionado em alguns momentos. Subtexto de Kelly crescendo e vendo o humano inteiro. Concurso pensava em realizar um desejo de criança. Kelly nunca abordou nada, talvez perdeu algo. História com um elemento mais sombrio, quebra de toque de recolher, Dax bebendo, namoro, a namorada de Kelly parecia ultrapassar os limites. Essencialmente uma história saudável, tratada com cuidado e respeito. No entanto, o relacionamento é difícil para um garoto, pai, família, tradição. Mesmo Dax fez uma ótima escolha anterior, muito bom elemento na história. Acho que pelo menos vale a pena assistir. O resumo despertou meu interesse. Eu realmente gostaria de ver o aspecto da estrela. Uma espécie de conto de fadas. Um filme bem claro, indo para querer mencionar, boa história. Gostei da trama, um pequeno problema com a história. Espero encontrar algo mais, mesmo gostando de assistir.;en-us;sweet story lighter star aspect would really liked story really dax star dax star remembering regular person story definitely syrupy side perfect hallmark minister daughter moved back home losing job contest crush win celebrity remembers became jaded really felt like story trying much really accomplish plot question story played instance story local club closing without money concert raise money sort fell side whole crush aspect really dealt beyond mentioned couple time though subtext kelly grown saw human entire contest thought fulfill child wish kelly never something addressed maybe missed something story darker element curfew busting dax drinking dating kelly girlfriend seemed push boundary essentially wholesome story handled care respect however relationship harding kid parent family tradition even dax previous great choice lot great element story think least worth watch blurb interest said really really would liked star aspect tale really movie clear going want mention good story liked plot quibble really story hoping find even though enjoy watching;Positive
bom filme;en-us;good movie;Positive
nenhum Alpert sucesso também custo converter sistema compatível reprodutor de DVD;en-us;none alpert hit tune also cost convert system compatible dvd player;Positive
muita violência oferecer versão explicar melhor obtendo;en-us;much violence offer version explain better getting;Positive
profundo, rápido, envolvente, manter o interesse, seria um ótimo livro;en-us;deep fast moving deep stay interested would make great book;Positive
Um filme favorito de Bond com Roger Moore, razão pela qual gostei, é o melhor filme de Bond de todos os tempos. Leva o espectador para Nova Orleans e para a profundidade mais escura do Haiti, envolvendo mistério, vodu e bem como reviravoltas ao longo do filme. Um filme de Bond que todo fã deve assistir. Kris Cockayne.;en-us;one favorite bond film roger moore reason liked like bond film ever take viewer new orleans darkest depth haiti involves mystery voodoo well twist turn throughout movie bond film every fan watch kris cockayne;Positive
qualidade boa filme de Natal favorito desde que veio parte filmado diretamente em Cleveland, Ohio;en-us;good quality favorite christmas movie ever since came part filmed right cleveland oh;Positive
O DVD chegou prontamente, em ótima condição, ainda não assisti, mas confio que será uma boa experiência.;en-us;dvd arrived promptly great shape watched yet confident good viewing;Positive
assistir séries de inverno;en-us;watch series winter;Neutral
urinar toda vez que pensar em filme, um dos filmes mais engraçados, foto, colocar o ano, pegar, bom trabalho, fazer rir, gostar de uma cena engraçada, lembrar do filme inteiro, gargalhar, comprar;en-us;pee every time think movie one funniest picture put year take good piece work make laugh like one funny scene remember whole movie hoot buy;Positive
coleção excelente ótimo risada Lucille Ball mais engraçada histérica cinco estrelas maneira;en-us;collection excellent geat laugh lucielle ball funniest hysterical five star way;Positive
Esperei o filme, veio dizer que valeu a pena esperar, decepcionante, boa atuação, bom filme, amo filmes de Halloween e terror, também amo filmes de baixo orçamento, ainda sou exigente com filmes, o filme faz pouco sentido, sentado assistindo, tipo, hum, ok, continuei esperando melhorar, às vezes um filme é só isso.;en-us;waited movie come say worth wait diasppointing good acting movie good love halloween horror movie also love low budget movie picky still movie joke make much sense sitting watching like umm ok kept hoping get better sometimes movie one;Positive
Todo mundo adora Napoleon Dynamite. Descobri, assisti pela primeira vez com um amigo e amei o filme. Simplesmente fiquei olhando, rindo junto com meu amigo, uma verdadeira atuação de melhor amiga para sempre (bff). Ele me contou que gostou, eu fui honesta e disse que odiei. Ele disse que odiou, eu assisti novamente e gostei. Caí no sono e me pergunto como vou conseguir ver isso novamente. Assisti com um amigo que nunca tinha visto o filme. Vi tudo e devo dizer que é um filme chato, sem enredo, sem propósito de todos os tempos que já vi. Realmente não entendo como todo mundo acha engraçado e agradável. Gostei de algumas partes, achei outras ruins, achei outras ok, mal posso dizer que definitivamente é um filme sobre um cara interpretado por Jon Heder, ele é fofo sem o equipamento do Napoleon. No geral, quero ver o filme para dizer alugar, na verdade até mesmo desperdiçar os três dólares da taxa de aluguel. Espere até passar na TV. Aviso: Napoleon Dynamite é ruim. Ainda estou chocado que seja o melhor filme do ano, com a melhor coreografia de dança e uma performance masculina surpreendente.;en-us;everybody school absolutely love napoleon dynamite figured watch first watched friend loved movie simply stared laughed along friend total act bff told liked honest told hated said hated watched said liked fell asleep wonder get see watched friend never seen movie saw whole thing must say one boring plotless pointless movie ever seen really understand everybody find funny enjoyable liked part line think part suck think part okay barely definitely movie guy play napoleon jon heder cute without napoleon gear plus overall want see movie say rent actually even waste three buck rental fee wait til come tv say warn nd suck still shocked best movie year best dance number breakout male performance shocking really;Positive
emocionante, comovente, angustiante, que arranca lágrimas, um;en-us;thrilling heartwarming gut wrenching tear jerking one;Neutral
amado(a);en-us;loved;Neutral
lembrado teatro, geração de leads, televisão, grande afeto, filme, seriado, final da década de 1930 e início da década de 1940, Flash Gordon, Winslow, Guarda Costeira, etc., praticamente disponível como programação de TV, Rocketeer reflete simplicidade, valor moral, convicção, triunfo, poder do eixo impulsionou a imagem, soube o destino, confiado, mandíbula iluminada por lanterna, calças jodpur, bota de montaria de couro, jaqueta de piloto de couro, tudo mudaria para o lado certo, diferente do seriado original, atuação do Rocketeer é bem boa, Timothy Dalton interpreta um vilão particularmente viscoso, Alan Arkin é ótimo, Sr. Ciência, parceiro de confiança, aparência do Dr. Zarkov, lidera também é bom, DVD mais nítido visto, certamente encontrado aceitável;en-us;remembered theater grown lead generation television great fondness movie movie serial late 1930s early 1940s flash gordon winslow coast guard etc pretty much available way tv programming rocketeer reflects simpliticy moral value conviction triumph axis power drove picture knew fate entrusted lanterned jaw hero jodpurs riding boot leather bomber jacket everything would turn right unlike orginal serial acting rocketeer pretty good timothy dalton make particularly smarmy villian alan arkin great mr science side kick look dr zarkov lead also good crispest dvd seen certainly found acceptable;Positive
filme de amor, ótimo enredo, parece outro filme seguindo o fim do filme, vale a compra;en-us;love movie great plot seems another film following end movie worth purchase;Positive
Natal;en-us;christmas;Neutral
Desprezar Goldie Hawn geralmente achava o filme engraçado e emocionante, uma esposa solidária que sacrificou a carreira pela criança. Espero sugar a medula da vida. Steve Martin é sempre hilário, parcialmente reprisando seu papel. Um avião brilhante, um trem, um automóvel de vingança. Uma tentativa de filme com comportamento controlador. Lugar de aluguel de carros mantendo um grande sorriso no rosto, realmente engraçado. Sinal dizendo 'caro, mel'. Homenagem ao Sr. Robinson olhando para a perna de Goldie Hawn, Steve Martin parecendo envergonhado. Pegou bem surpreso. Bem, diga John Cleese, nada é engraçado, tudo é anti-Fawlty Towers. Uma parte razoavelmente suculenta. Bem, olha ótimo e ria bem. Alguém lançou recentemente Fawlty Towers em VHS. Reconheço pelo menos uma piada que Cleese trouxe para o filme. Observe a cena do mordomo batendo na porta para perturbar o sinal. Veja o hóspede realmente significando o sinal. Um filme clássico é muito melhor do que as pessoas dizem, um pouco brega, muita diversão.;en-us;despise goldie hawn usually found funny touching movie supportive wife sacrificed career child hope suck marrow life steve martin always hilarious partially reprising role brilliant plane train automobile vengeance film attempt controlling demeanor car rental place keeping big smile face really funny sign say car honey homage mr robinson looking goldie hawns leg sheepish looking steve martin took surprise well say john cleese man nothing funny everything anti fawlty movie fairly juicy part well look great laugh well anyone recent release fawlty tower vhs recognize least one joke cleese brought movie note scene bellboy knocking door disturb sign see guest really meant sign classic film much better people saying little cheesy lot fun;Positive
filme fofo, nada extraordinário, história doce, pai solteiro tentando descobrir a melhor vida para sua filha, momentos engraçados, particularmente Betty Aberlin, filha ótima de Ben Affleck e Jennifer Lopez, surpreendentemente bom, final bom, um pouco típico de Hollywood, pelo menos Smith faz uma participação especial agradável.;en-us;cute movie nothing extraordinary sweet story single father try figure best life daughter funny moment particularly betty aberlin daughter great ben affleck jennifer lopez surprisingly good well ending bit typical hollywood least smith play nice cameo;Positive
Jogos Vorazes sempre vale a pena assistir, no mínimo.;en-us;hunger game always worth watching least;Positive
favorito dos fãs;en-us;cult favorite;Positive
desempenho medíocre, corte afiado, aderência mediana, desempenho médio, direção média, roteiro mediano, um pouco de JJ especial, efeitos sonoros, departamento vale a pena assistir, mantenha as expectativas baixas;en-us;solidly average sharp edge stickly bit average performance average direction average script lot jj special sauce sfx department worth watch long keep expectation low;Positive
brilhante necessidade emitido fino estojo conjunto como feito arquivo muitos séries atual embalagem volumoso rapidamente se desfaz;en-us;brilliant need issued slim case set like done file many series current packaging bulky quickly break apart;Positive
absolutamente impressionante série brutal tempo realmente sinto como batalha gráfica linha de história personagem principal tempo traz lágrimas aos olhos jovens homens enfrentaram cicatrizes para fazer orgulho;en-us;absolute astounding series brutal time actually feel like graphic battle storyline major character time bring tear eye young men faced scarificed make proud;Positive
parece um filme Rammstein na América, corte rápido, parece uma luz estroboscópica apontada como adesivo de advertência para pessoas com epilepsia, ponto do show ao vivo, assista à apresentação da banda, membro do grupo, reserve o disco agora, escandaloso.;en-us;like rammstein america film cut rapidly feel like strobe light aimed warning sticker epililectics point live concert watch band member performance buch dich outrageous save disc;Negative
ama a música da Heidi, vídeo, aula aproveita muito;en-us;love heidi song video class enjoys greatly;Positive
filme legal nos bastidores, palcos, shows, álbum, concerto, realmente comprei a música, mudei de ideia sobre a música, fez o álbum inteiro, DVD, tocar, ela é uma cantora experiente, legal;en-us;nice film behindscenes stage happening album concert really bought song change heart song make whole album dvd play shes journeyman singer nice;Positive
enganado minuto duração pacote treino ótimo ocupado tempo trabalhando pequeno quarto de hotel ir usar casa sempre favorito não consigo dizer tempo espremer dia fazer fácil gostar;en-us;fooled minute duration pack workout great busy time working small hotel room go use home always favorite cant say time squeeze day make easy like;Positive
muito bom, pular, intervalo, filme, criança adorou;en-us;really good feed skip break movie movie kid loved;Positive
série de ficção científica envelhece bem, lançamento em Blu-ray excelente;en-us;alien series get better age blu ray release superb;Positive
o melhor filme de todos os tempos;en-us;one best movie ever;Positive
rotina intensa leva um mês para pegar no ritmo, mesmo que seja uma rotina curta. Movimente-se rápido! Quer realmente se exercitar? Agrupe exercícios em treinos personalizados de um minuto por segmento. Um segmento pode durar uma hora. Era o que eu queria.;en-us;killer routine take month get even one short routine move fast really want exercise grouped custom workout minute segment segment could hour workout wanted;Positive
excelente outros;en-us;excellent others;Positive
John Cleese. Não precisa dizer mais nada.;en-us;john cleese nuff said;Neutral
chegou super rápido, comprei usado, parece seriamente novo, a embalagem ainda tem adesivo da loja, uau, totalmente vale a pena, totalmente vale o preço, adicionado à coleção hoje.;en-us;arrived super fast bought used seriously look brand new case still sticker store wow totally worth totally worth price add collection today;Positive
excelente filme;en-us;excellent movie;Positive
aparência organizada/limpa, loja de delicatessen, promissor, realmente interessante/engenhoso, documentário;en-us;neat look deli prospective really nifty documentary;Positive
verdadeiro clássico sempre muita gente Cagney melhor;en-us;true classic always alot people cagney best;Positive
excelente anunciado;en-us;excellent advertised;Neutral
elenco bom versão interessante Tarzan história divertida filme de aventura CGI crível na maioria do momento em destaque Skarsgård demonstra pouca emoção personagem pouco pensado robótico papel da personagem atriz interpretando Jane refrescante de primeira qualidade familiar comandou cada cena vista;en-us;good cast interesting version tarzan storyline fun adventure movie cgi credible mostly top spot skarsgard show much emotion character thought little robotic character role actress playing jane refreshing top rate familiar commanded every seen;Positive
bom;en-us;good;Positive
excelente vídeo África;en-us;excellent video africa;Positive
comprei ação neto grande sucesso muita risada amei vendo Donald sobrinho travessura ótima adição família biblioteca;en-us;bought share grandchild big hit lot laugh loved seeing donald nephew antic great addition family library;Positive
Normalmente, gosto de Timothy Spall, mas geralmente sua interpretação de Turner é chata e artificial. Talvez o artista estivesse apenas se exibindo, grunhindo como um idiota. A governanta demonstra amor, mas é tratada como lixo, realmente muito mal. Também é uma grande dor de cabeça, como todo sonho feminino. Imagino que o artista tenha sido mantido esperando para melhorar em vão.;en-us;normally enjoy timothy spall generally boring stilted portrayal turner perhaps artist really posturing grunting jerk care housekeeper love treated like crap really crappy also big pain as every woman dream suppose long arteest kept waiting get better vain;Positive
conseguir a história esmagada, trash metal, rick ernst diz certo, filme tentando obter uma visão objetiva da história do trash. serviria bem indo para outro lugar, com certeza o filme daria aos fãs, um tipo de fã, respeito, ótimo, muita banda, muitas imagens, muitas entrevistas com pessoas que provavelmente sabem, ainda estão vivos, muita buzina, cabeça abanando, metal, paul baloff imortal, sangue no palco, linha real, ainda cicatrizado, provar que vai conseguir muito impacto, realmente muito mais a dizer, parte da cena, absoluto deve ver, desejo que fosse coberto, nome da banda, nome com certeza, toda lista de fãs do trash é diferente, ouro puro.;en-us;get thrashed story thrash metal rick ernst say right movie trying get objective look history thrash would well served go elsewhere sure movie give fan fan kind gig respect great lot band footage lot interview people probably know still alive lot horn air headbanging metal paul baloff immortal blood upon stage line real still scar prove going get much kick really much else say part scene absolute must see wish covered band name name sure every thrash fan list different pure gold;Neutral
Produto chegou no prazo, boa condição, conforme descrito. Episódio e faixa de áudio serial faltando, adicionado rastreamento de áudio realmente útil.;en-us;product arrived time good condition described episode serial missing added audio track really helpful;Positive
A jornada dos hobbits continua e evolui para outro grande filme de Peter Jackson. Um filme imaginativo com excelentes efeitos especiais, além de um toque de história de amor. Mais uma obra imperdível e do tipo que precisa ser vista.;en-us;hobbit journey continues evolves another great film peter jackson imaginative movie excellent special effect also hint love story another must see must type film;Positive
amor, programa de TV, elenco, incrível, reconquistar, evento, interessante, rápido, sagacidade, humor;en-us;love show cast awesome take back event interesting quick whit humor;Positive
neta de um ano de idade ama música e ação;en-us;one year old granddaughter love music action;Positive
filme espreitou encontrado realmente gostando sim um tanto focado peso astro masculino afetado autoestima maneira de quebrar o acordo bom filme torcendo resultado positivo;en-us;movie crept found really enjoying yes somewhat focused weight male star affected self esteem charming way deal breaker good movie cheering positive outcome;Positive
bom negócio ótimo preço servo propósito com boa aparência comprar agradável;en-us;great deal great price serf purpose looking good buy nice;Positive
filme que passa bem, depende de alta energia, efeitos especiais excelentes, bom filme para toda a família;en-us;feel good movie rely high energy top special effect good movie whole family;Positive
sei muito Brian Epstein envolvimento central Beatles boa introdução animada sei muita coisa novo bom colecionador dizer abrir novos horizontes;en-us;know much brian epstein central involvement beatles good lively introduction know lot much new good collector say break new ground;Positive
"Quer tanto ação rápida quanto precisão histórica meticulosa; o filme sobre a construção do Muro de Berlim certamente transmite uma tensão real e um bom senso da atmosfera da Guerra Fria. É velho o suficiente para se lembrar, pelo menos vagamente, de Hank Rylance, que está bem apoiado.";en-us;want either fast moving action meticulous historical accuracy regarding erection berlin wall film certainly conveys real tension good sense cold war atmosphere old enough remember least hazily hank rylance good well supported;Positive
Um filme familiar incrível, realmente aproveitei a presença de Deus.;en-us;awesome family movie really enjoyed god presence felt;Positive
ótimo treino, aproveite a viagem, muito prazer;en-us;great workout take traveling enjoy much;Neutral
série presente marido grande fã esperando a temporada em breve maratonar toda a série chega recomenda muito série de qualidade problema com DVD;en-us;series gift husband big fan expecting season soon binge watch entire series arrives highly recommends quality series problem dvd;Positive
ok filme lento;en-us;ok movie slow;Positive
grande variedade de programa bem conduzido;en-us;great variety program well conducted;Positive
ótima minissérie;en-us;great mini series;Neutral
